web-scraper-order,web-scraper-start-url,Links,Links-href,Name,Casts,Movie info,Ratings,Runtime,Movie stars,Director,Writers
1689702134-69,https://www.imdb.com/chart/top/?ref_=nv_mv_250,182. Before Sunrise,https://www.imdb.com/title/tt0112471/?ref_=chttp_t_182,Before Sunrise,Cast & crew,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",8.1,1h 41m,,DirectorRichard Linklater,WritersRichard LinklaterKim Krizan
1689702150-70,https://www.imdb.com/chart/top/?ref_=nv_mv_250,181. 12 Years a Slave,https://www.imdb.com/title/tt2024544/?ref_=chttp_t_181,12 Years a Slave,Cast & crew,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",8.1,2h 14m,,DirectorSteve McQueen,WritersJohn RidleySolomon Northup
1689702161-71,https://www.imdb.com/chart/top/?ref_=nv_mv_250,180. The Gold Rush,https://www.imdb.com/title/tt0015864/?ref_=chttp_t_180,The Gold Rush,Cast & crew,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",8.1,1h 35m,,DirectorCharles Chaplin,WriterCharles Chaplin
1689702173-72,https://www.imdb.com/chart/top/?ref_=nv_mv_250,179. Blade Runner,https://www.imdb.com/title/tt0083658/?ref_=chttp_t_179,Blade Runner,Cast & crew,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,8.1,1h 57m,,DirectorRidley Scott,WritersHampton FancherDavid Webb PeoplesPhilip K. Dick
1689702183-73,https://www.imdb.com/chart/top/?ref_=nv_mv_250,178. Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/?ref_=chttp_t_178,Harry Potter and the Deathly Hallows: Part 2,Cast & crew,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",8.1,2h 10m,,DirectorDavid Yates,WritersSteve KlovesJ.K. Rowling
1689702195-74,https://www.imdb.com/chart/top/?ref_=nv_mv_250,177. Klaus,https://www.imdb.com/title/tt4729430/?ref_=chttp_t_177,Klaus,Cast & crew,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",8.2,1h 36m,,DirectorsSergio PablosCarlos Martínez López,WritersSergio PablosJim MahoneyZach Lewis
1689702204-75,https://www.imdb.com/chart/top/?ref_=nv_mv_250,176. Children of Heaven,https://www.imdb.com/title/tt0118849/?ref_=chttp_t_176,Children of Heaven,Cast & crew,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",8.2,1h 29m,,DirectorMajid Majidi,WriterMajid Majidi
1689702213-76,https://www.imdb.com/chart/top/?ref_=nv_mv_250,175. Million Dollar Baby,https://www.imdb.com/title/tt0405159/?ref_=chttp_t_175,Million Dollar Baby,Cast & crew,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.",8.1,2h 12m,,DirectorClint Eastwood,WritersPaul HaggisF.X. Toole
1689702224-77,https://www.imdb.com/chart/top/?ref_=nv_mv_250,174. My Neighbor Totoro,https://www.imdb.com/title/tt0096283/?ref_=chttp_t_174,My Neighbor Totoro,Cast & crew,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",8.1,1h 26m,,DirectorHayao Miyazaki,WriterHayao Miyazaki
1689702234-78,https://www.imdb.com/chart/top/?ref_=nv_mv_250,173. Catch Me If You Can,https://www.imdb.com/title/tt0264464/?ref_=chttp_t_173,Catch Me If You Can,Cast & crew,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",8.1,2h 21m,,DirectorSteven Spielberg,WritersJeff NathansonFrank Abagnale Jr.Stan Redding
